cmdId  W   SET-handler  QUERY-handler  command
0x0176  RW  0x207e4      0x26dc0        :DIAG:KEIT:ILIN3
0x0177  RW  0x207f0      0x26dfc        :DIAG:KEIT:ILIN4
0x0178  RW  0x207fc      -              :DIAG:KEIT:OLIN1
0x0179  RW  0x2082a      -              :DIAG:KEIT:OLIN2
0x017a  RW  0x20858      -              :DIAG:KEIT:OLIN3
0x017b  RW  0x20886      -              :DIAG:KEIT:OLIN4
0x017c  RW  0x208b4      0x26e38        :DIAG:KEIT:AHWREV
0x017d  RW  0x20a32      0x26e78        :DIAG:KEIT:DHWREV
0x017e  RW  0x20ad8      0x26eb8        :DIAG:KEIT:CCREV
0x017f  RW  0x20b7e      0x26ef8        :DIAG:KEIT:SECRET
0x0180  RW  0x20ba4      0x26f24        :DIAG:KEIT:LVOL
0x0181  R   -            0x2706a        :DIAG:KEIT:FTYP
0x0182  R   -            0x2709c        :DIAG:KEIT:EES
0x0183  RW  0x20c42      -              :DIAG:KEIT:OTDIS
0x0184  RW  0x20c86      -              :DIAG:KEIT:MELTDOWN
0x0185  RW  0x20cf0      0x26f58        :DIAG:KEIT:NOPULSE
0x0186  RW  0x20d62      0x26f8c        :DIAG:KEIT:KEYLOCK
0x0187  RW  0x20de0      0x2701e        :DIAG:KEIT:SETUP1
0x0188  RW  0x20de0      0x2701e        :DIAG:KEIT:SETUP2
0x0189  RW  0x20de0      0x2701e        :DIAG:KEIT:SETUP3
0x018a  RW  0x20de0      0x2701e        :DIAG:KEIT:SETUP4
0x018b  RW  0x20de0      0x2701e        :DIAG:KEIT:SETUP5
0x018c  RW  0x20e40      0x26fc6        :DIAG:KEIT:VREF
0x018d  RW  0x20ee2      -              :DIAG:KEIT:INITCAL
0x0200  R   -            -              :ARM:SOUR:BST
0x0400  ?   -            -              :TRIG:SEQ2:SOUR:CCH

total cmdIds: 399   with SET handler: 345   with QUERY handler: 327
SET default(no-op) handlers: 0x20eea
QUERY default(no-op) handler: 0x270ce
